Metadata,Metadata,Metadata,Metadata,Pos.,Pos.,Pos.,Pos.
Run name,Date,Ramp,Water,1,4,7,10
0.3g Random Coffee 4/03,4/mrt,/,No,0.3036,0.2949,0.2906,0.2915
500mg organic b ramp to 100,17-mrt,100C,No,0.494,0.4877,0.5045,0.491
